product_id,product_name,product_category,brand,size,color,material,occasion,age_group,price_listed,price_final,stock_status,product_image_url,product_description,price
0cea09fc-ffb8-47a7-a3f1-cd9651c0045e,Blue Adidas Sandals,Footwear,Adidas,7UK,Blue,Polyester,Casual,Kids,6756.75,5942.44,1,https://picsum.photos/seed/0cea09fc/200,Experience the perfect blend of style and durability with this blue sandals crafted in polyester by Adidas.,5942.44
a78d0365-a138-47bc-be0e-1d7f943078b3,Red Fossil Sunglasses,Accessories,Fossil,One Size,Red,Wool,Casual,Adults,514.7,319.1,0,https://picsum.photos/seed/a78d0365/200,"Exclusive red sunglasses from Fossil, featuring fine wool craftsmanship.",319.1
5096b169-9d02-482c-ad1e-e9ad96c572a4,Brown Bata Boots,Footwear,Bata,6UK,Brown,Leather,Travel,Teens,6738.24,5496.57,0,https://picsum.photos/seed/5096b169/200,"Sophisticated Bata boots in brown, tailored from leather for a modern look.",5496.57
d7c665a4-5cf3-4df1-8f70-b4c4786f9821,Purple Zara Saree,Clothing,Zara,M,Purple,Cotton,Festive,Teens,3167.7,1928.83,1,https://picsum.photos/seed/d7c665a4/200,"Trendy purple saree made with high-quality cotton, a must-have from Zara.",1928.83
d48507fa-2c1d-400e-85d3-ca668c738e48,White Adidas Boots,Footwear,Adidas,7UK,White,Polyester,Winter,Teens,3405.75,2416.7,0,https://picsum.photos/seed/d48507fa/200,"Premium white boots with polyester finish from Adidas, elevating your wardrobe.",2416.7
c15b4151-3e29-4ce2-aa18-0d29a43bb593,Yellow Michael Kors Wallet,Accessories,Michael Kors,One Size,Yellow,Synthetic,Casual,Teens,5459.52,3919.48,1,https://picsum.photos/seed/c15b4151/200,"Premium yellow wallet with synthetic finish from Michael Kors, elevating your wardrobe.",3919.48
be36fa14-7da7-4ca8-9e58-8e54027da794,Blue Adidas Kurta,Clothing,Adidas,XL,Blue,Wool,Festive,Adults,9053.05,6345.8,0,https://picsum.photos/seed/be36fa14/200,"Elegant blue wool kurta by Adidas, designed for premium comfort.",6345.8
730e9387-303d-4e27-971d-528f654f8a5c,Black Gucci Backpack,Accessories,Gucci,One Size,Black,Cotton,Travel,Adults,3565.96,2224.23,1,https://picsum.photos/seed/730e9387/200,"Premium black backpack with cotton finish from Gucci, elevating your wardrobe.",2224.23
38864155-955b-4303-b794-e0121a31416b,Pink Reebok Sandals,Footwear,Reebok,10UK,Pink,Suede,Casual,Teens,9198.83,7931.81,1,https://picsum.photos/seed/38864155/200,"Trendy pink sandals made with high-quality suede, a must-have from Reebok.",7931.81
548af53d-a761-4902-9f47-98eb63b510e0,Yellow Levis Saree,Clothing,Levis,XL,Yellow,Cotton,Wedding,All Ages,8571.11,5599.76,0,https://picsum.photos/seed/548af53d/200,"High-fashion saree from Levis in yellow, made of cotton for a standout style.",5599.76
fbc284fc-2a1e-490d-b583-07f084a218fe,Yellow Zara T-shirt,Clothing,Zara,XS,Yellow,Denim,Casual,All Ages,9201.67,6751.5,1,https://picsum.photos/seed/fbc284fc/200,"Sophisticated Zara t-shirt in yellow, tailored from denim for a modern look.",6751.5
e09352d7-6587-4fd3-b014-9ddac4db278e,Pink Adidas Saree,Clothing,Adidas,XS,Pink,Silk,Wedding,Adults,8573.67,7511.85,1,https://picsum.photos/seed/e09352d7/200,"Classic Adidas saree in pink silk, ideal for daily wear.",7511.85
0b78a6fa-4950-48f0-861f-852d52684422,White H&M Shirt,Clothing,H&M,XXL,White,Silk,Office,Adults,4334.84,3195.42,1,https://picsum.photos/seed/0b78a6fa/200,"Sophisticated H&M shirt in white, tailored from silk for a modern look.",3195.42
3d8fff45-e488-42af-a04a-890884134e56,White Adidas T-shirt,Clothing,Adidas,XL,White,Polyester,Casual,Adults,1800.78,1164.84,1,https://picsum.photos/seed/3d8fff45/200,"Exclusive white t-shirt from Adidas, featuring fine polyester craftsmanship.",1164.84
2693a23d-b5ef-4d8c-801e-75cbba7d1d99,Green Zara Hoodie,Clothing,Zara,M,Green,Silk,Casual,All Ages,4388.22,2797.4,1,https://picsum.photos/seed/2693a23d/200,"Premium green hoodie with silk finish from Zara, elevating your wardrobe.",2797.4
7de5d19a-d84b-4876-ae04-0f6176e0fd8c,Blue Fossil Scarf,Accessories,Fossil,One Size,Blue,Leather,Winter,All Ages,1163.41,964.23,1,https://picsum.photos/seed/7de5d19a/200,"Exclusive blue scarf from Fossil, featuring fine leather craftsmanship.",964.23
a59ac1c7-0c2a-435e-bee6-e57ce64ca688,Black Nike Sandals,Footwear,Nike,7UK,Black,Canvas,Casual,Kids,583.4,507.59,0,https://picsum.photos/seed/a59ac1c7/200,"Trendy black sandals made with high-quality canvas, a must-have from Nike.",507.59
cf251648-b17f-45cf-9a82-4960e4b25390,Pink Adidas Sneakers,Footwear,Adidas,7UK,Pink,Synthetic,Travel,Teens,1937.28,1326.03,0,https://picsum.photos/seed/cf251648/200,Experience the perfect blend of style and durability with this pink sneakers crafted in synthetic by Adidas.,1326.03
da8841db-fefa-46cb-b039-aa06f50a1b75,Grey Ray-Ban Sunglasses,Accessories,Ray-Ban,One Size,Grey,Synthetic,Casual,All Ages,7392.16,5412.86,1,https://picsum.photos/seed/da8841db/200,"High-fashion sunglasses from Ray-Ban in grey, made of synthetic for a standout style.",5412.86
57816d25-1922-4a81-935b-4d53cd925cc9,Green Reebok Boots,Footwear,Reebok,10UK,Green,Leather,Casual,All Ages,4991.88,3405.66,0,https://picsum.photos/seed/57816d25/200,"Trendy green boots made with high-quality leather, a must-have from Reebok.",3405.66
c908add3-2ab5-49bd-ac44-586735026171,Purple Gucci Hat,Accessories,Gucci,One Size,Purple,Leather,Beach,All Ages,4922.32,3692.3,0,https://picsum.photos/seed/c908add3/200,"Comfortable and chic leather hat by Gucci in purple, perfect for casual outings.",3692.3
1d9993f9-d0a3-4a98-9d74-5e231f25d5e2,Brown Bata Sandals,Footwear,Bata,8UK,Brown,Canvas,Casual,All Ages,4190.05,3679.46,0,https://picsum.photos/seed/1d9993f9/200,"Classic Bata sandals in brown canvas, ideal for daily wear.",3679.46
bd847d90-53d3-4c2e-ab56-96862cf36275,Blue Adidas Loafers,Footwear,Adidas,7UK,Blue,Leather,Casual,Teens,3604.52,2201.57,0,https://picsum.photos/seed/bd847d90/200,Experience the perfect blend of style and durability with this blue loafers crafted in leather by Adidas.,2201.57
2d4881e9-fae3-43d6-9094-121b224a81e3,Yellow Puma Heels,Footwear,Puma,6UK,Yellow,Canvas,Wedding,Teens,2071.36,1409.7,0,https://picsum.photos/seed/2d4881e9/200,"Classic Puma heels in yellow canvas, ideal for daily wear.",1409.7
b78a1b1e-43ad-4e6e-a5db-1dd1933518af,Yellow Zara Jeans,Clothing,Zara,XS,Yellow,Cotton,Travel,Teens,8266.5,7328.98,0,https://picsum.photos/seed/b78a1b1e/200,"Comfortable and chic cotton jeans by Zara in yellow, perfect for casual outings.",7328.98
